"property","value"
"version","1.2.0"
"build","1020009"
"fileFormat","1.19"
"deviceModel","2201117PG"
"deviceBrand","POCO"
"deviceBoard","fleur"
"deviceManufacturer","Xiaomi"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","13"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","ACCELEROMETER"
"accelerometer Vendor","icm4n607_acc"
"accelerometer Range","78.453606"
"accelerometer Resolution","0.0012"
"accelerometer MinDelay","2500"
"accelerometer MaxDelay","80000"
"accelerometer Power","0.001"
"accelerometer Version","1"
"linear_acceleration Name","LINEARACCEL"
"linear_acceleration Vendor","MTK"
"linear_acceleration Range","39.226803"
"linear_acceleration Resolution","0.0012"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","20000"
"linear_acceleration Power","0.001"
"linear_acceleration Version","1"
"gravity Name","GRAVITY"
"gravity Vendor","MTK"
"gravity Range","39.226803"
"gravity Resolution","0.0012"
"gravity MinDelay","5000"
"gravity MaxDelay","20000"
"gravity Power","0.001"
"gravity Version","1"
"gyroscope Name","GYROSCOPE"
"gyroscope Vendor","icm4n607_gyro"
"gyroscope Range","34.9063"
"gyroscope Resolution","0.0011"
"gyroscope MinDelay","2500"
"gyroscope MaxDelay","80000"
"gyroscope Power","0.001"
"gyroscope Version","1"
"magnetic_field Name","MAGNETOMETER"
"magnetic_field Vendor","akm09918"
"magnetic_field Range","4912.0503"
"magnetic_field Resolution","0.15"
"magnetic_field MinDelay","20000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","0.001"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","LIGHT"
"light Vendor","bu27030nuc"
"light Range","65535.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","1000000"
"light Power","0.001"
"light Version","1"
"proximity Name","Elliptic Proximity"
"proximity Vendor","Elliptic Labs"
"proximity Range","5.0"
"proximity Resolution","1.0E-4"
"proximity MinDelay","0"
"proximity MaxDelay","10000000"
"proximity Power","0.5"
"proximity Version","4"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","ROTATION_VECTOR"
"attitude Vendor","MTK"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","5000"
"attitude MaxDelay","20000"
"attitude Power","0.001"
"attitude Version","1"
"custom Name","Touch Sensor"
"custom Vendor","Xiaomi Large Area Detect"
"custom Range","5.0"
"custom Resolution","1.0"
"custom MinDelay","20"
"custom MaxDelay","1000000"
"custom Power","1.0"
"custom Version","1"
